Serial,Name,Fl,Birth,Death,Inventory,ScienceField,Index,Duplicate,BirthCountry,WorkCountry,Ethnicity,Woman,No. of Inventories
20792,Domenichino ( Zampieri),1621,1581,1641,Art.West,,6.49,0,Italy,Italy,Italian,0,
20794,Domenico Veneziano,1450,,,Art.West,,6.19,0,Italy,Italy,Italian,0,
20795,Donatello (di Betto Bardi),1426,1386,1466,Art.West,,42.13,0,Italy,Italy,Italian,0,
2321,"Donders, Franciscus ",1858,1818,1889,Science,Medi,5.42,0,Netherlands,Netherlands,Dutch,0,
22693,Dong Qichang,1595,1555,1636,Art.China,,79.93,0,China,China,Chinese,0,
22696,Dong Yuan,940,900,962,Art.China,,54.11,0,China,China,Chinese,0,
31544,Dong Zhongshu,-139,-179,-104,Phil.China,,16.08,0,China,China,Chinese,0,
40656,"Donizetti, Gaetano",1837,1797,1848,Music.West,,8.93,0,Italy,Italy,Italian,0,
11307,"Donne, John",1612,1572,1631,Lit.West,,17.07,0,Britain,Britain,English,0,
2329,"Doppler, Christian ",1843,1803,1853,Science,Phys,16.22,0,Austria,Czech,Germanic,0,
20800,"Doré, Gustave",1830,,,Art.West,,2.32,0,Germany,France,Germanic,0,
2332,"Dorn, Friedrich ",1888,1848,1916,Science,Chem,4.06,0,Germany,Germany,Germanic,0,
2334,"Dornberger, Walter ",1935,1895,1980,Science,Tech,7.15,0,Germany,Germany,Germanic,0,
11309,"Dos Passos, John ",1936,1896,1971,Lit.West,,8.32,0,USA,USA,USA,0,
20802,"Dossi, Dosso",1530,1490,1542,Art.West,,2.26,0,Italy,Italy,Italian,0,
11310,"Dostoevsky, Fyodor",1861,1821,1881,Lit.West,,40.20,0,Russia,Russia,Slavic,0,
40664,"Dowland, John",1603,1563,1626,Music.West,,5.53,0,Britain,Britain,English,0,
11319,"Doyle, Arthur",1899,1859,1930,Lit.West,,2.19,0,Britain,Britain,Irish,0,
11320,"Drachmann, Holger",1886,1846,1908,Lit.West,,3.59,0,Denmark,Denmark,Germanic,0,
40667,"Draghi, Antonio",1674,1634,1700,Music.West,,1.83,0,Italy,Austria,Italian,0,
2354,"Drake, Edwin ",1859,1819,1880,Science,Tech,10.20,0,USA,USA,USA,0,
2358,"Draper, Henry",1877,1837,1882,Science,Astr,13.09,0,USA,USA,USA,0,
2359,"Draper, John ",1851,1811,1882,Science,Chem,1.99,0,Britain,USA,English,0,
2360,"Drebbel, Cornelius ",1612,1572,1633,Science,Tech,10.20,0,Netherlands,Britain,Dutch,0,
11324,"Dreiser, Theodore",1911,1871,1945,Lit.West,,9.67,0,USA,USA,USA,0,
2366,"Dreyer, John ",1892,1852,1926,Science,Astr,6.19,0,Britain,Britain,Danish,0,
2370,"Drinker, Philip",1934,1894,1972,Science,Medi,8.15,0,USA,USA,USA,0,
11330,"Droste-Hulshoff, Annette",1837,1797,1848,Lit.West,,2.88,0,Germany,Germany,Germanic,1,
11333,"Dryden, John",1671,1631,1700,Lit.West,,14.50,0,Britain,Britain,English,0,
2380,"Du Bois-Reymond, Emil ",1858,1818,1896,Science,Biol,11.67,0,Germany,Germany,Germanic,0,
40677,"Du Caurroy, Eustache",1589,1549,1609,Music.West,,1.06,0,France,France,French,0,
14069,Du Fu,752,712,770,Lit.China,,100.00,0,China,China,Chinese,0,
14698,Du Guangting,890,850,933,Lit.China,,6.05,0,China,China,Chinese,0,
40678,"Du Mont, Henri",1650,1610,1684,Music.West,,1.10,0,Belgium,France,Flemish,0,
14070,Du Mu,843,803,852,Lit.China,,8.92,0,China,China,Chinese,0,
22690,Du Qiong,1436,1396,1474,Art.China,,1.54,0,China,China,Chinese,0,
2392,"Dubos, René",1941,1901,1982,Science,Biol,6.74,0,France,USA,French,0,
20819,"Dubuffet, Jean",1941,1901,1985,Art.West,,8.30,0,France,France,French,0,
11339,"Ducasse, Isidore (Lautreamont)",1870,1846,1870,Lit.West,,5.53,0,France,France,French,0,
20821,Duccio di Buoninsegna,1297,1257,1316,Art.West,,20.98,0,Italy,Italy,Italian,0,
20820,"Duccio, Agostino di",1458,1418,1481,Art.West,,2.90,0,Italy,Italy,Italian,0,
20824,"Duchamp-Villon, Raymond",1916,1876,1918,Art.West,,5.02,0,France,France,French,0,
20823,"Duchamp, Marcel",1927,1887,1968,Art.West,,27.51,0,France,France,French,0,
40681,"Ducis, Benedictus",1530,1490,1544,Music.West,,1.01,0,Germany,Belgium,Flemish,0,
2383,"Dufay, Charles",1738,1698,1739,Science,Phys,9.21,0,France,France,French,0,
40682,"Dufay, Guillaume",1440,1400,1474,Music.West,,13.27,0,France,Netherlands,Dutch,0,
20826,"Dufy, Raoul",1917,1877,1953,Art.West,,2.66,0,France,France,French,0,
2405,"Duggar, Benjamin ",1912,1872,1956,Science,Biol,1.00,0,USA,USA,USA,0,
2406,"Duhamel du Monceau, Henri ",1740,1700,1782,Science,Tech,1.00,0,France,France,French,0,
11346,"Duhamel, Georges",1924,1884,1966,Lit.West,,4.71,0,France,France,French,0,
40683,"Dukas, Paul",1905,1865,1935,Music.West,,3.96,0,France,France,Jewish,0,
2412,"Dulong, Pierre",1825,1785,1838,Science,Chem,12.46,0,France,France,French,0,
11348,"Dumas, Alexandre (fils)",1864,1824,1895,Lit.West,,6.75,0,France,France,French,0,
11349,"Dumas, Alexandre (père)",1842,1802,1870,Lit.West,,11.77,0,France,France,French,0,
2413,"Dumas, Jean ",1840,1800,1884,Science,Chem,17.48,0,France,France,French,0,
40687,"Duni, Egidio ",1749,1709,1775,Music.West,,1.03,0,Italy,France,Italian,0,
2428,"Dunlop, John ",1880,1840,1921,Science,Tech,9.64,0,Britain,Britain,English,0,
30535,"Duns Scotus, John",1308,1270,1308,Phil.West,,8.99,0,Britain,Europe,Scots,0,
40688,"Dunstable, John",1430,1390,1453,Music.West,,7.21,0,Britain,Britain,English,0,
40689,"Duparc, Henri",1888,1848,1933,Music.West,,2.95,0,France,France,French,0,
20831,"Duquesnoy, Francois",1637,1597,1643,Art.West,,2.74,0,Belgium,Belgium,Flemish,0,
40693,"Durante, Francesco",1724,1684,1755,Music.West,,1.80,0,Italy,Italy,Italian,0,
20832,"Dürer, Albrecht",1511,1471,1528,Art.West,,56.42,0,Germany,Germany,Germanic,0,
40694,"Durey, Louis",1928,1888,1979,Music.West,,1.29,0,France,France,French,0,
40699,"Dussek, Jan",1800,1760,1812,Music.West,,2.14,0,Czech,Czech,Czech,0,
2440,"Dutrochet, René",1816,1776,1847,Science,Biol,9.83,0,France,France,French,0,
2441,"Dutton, Clarence ",1881,1841,1912,Science,Eart,25.08,0,USA,USA,USA,0,
40700,"Dvorák, Antonin",1881,1841,1904,Music.West,,13.11,0,Czech,Czech,Czech,0,
20836,"Dyck, Anthony van",1639,1599,1641,Art.West,,21.83,0,Belgium,Netherlands,Dutch,0,
